,energy_GeV,event_count
0,32.41793,0
1,32.55793,0
2,32.69793,0
3,32.83793,0
4,32.977932,1
5,33.11793,0
6,33.25793,0
7,33.39793,1
8,33.53793,0
9,33.67793,0
10,33.817932,0
11,33.95793,0
12,34.09793,1
13,34.23793,0
14,34.37793,0
15,34.51793,0
16,34.657932,0
17,34.79793,0
18,34.93793,0
19,35.07793,0
20,35.21793,0
21,35.35793,0
22,35.497932,0
23,35.63793,0
24,35.77793,1
25,35.91793,1
26,36.05793,0
27,36.19793,0
28,36.33793,1
29,36.477932,1
30,36.61793,0
31,36.75793,0
32,36.89793,1
33,37.03793,0
34,37.17793,0
35,37.317932,1
36,37.45793,1
37,37.59793,1
38,37.73793,0
39,37.87793,0
40,38.01793,1
41,38.157932,1
42,38.29793,0
43,38.43793,2
44,38.57793,2
45,38.71793,2
46,38.85793,1
47,38.997932,0
48,39.13793,2
49,39.27793,3
50,39.41793,0
51,39.55793,1
52,39.69793,0
53,39.83793,3
54,39.977932,2
55,40.11793,2
56,40.25793,5
57,40.39793,2
58,40.53793,4
59,40.67793,2
60,40.817932,4
61,40.95793,3
62,41.09793,4
63,41.23793,3
64,41.37793,5
65,41.51793,4
66,41.657932,7
67,41.79793,5
68,41.93793,2
69,42.07793,4
70,42.21793,4
71,42.35793,4
72,42.497932,10
73,42.63793,6
74,42.77793,7
75,42.91793,9
76,43.05793,9
77,43.19793,16
78,43.33793,18
79,43.477932,18
80,43.61793,16
81,43.75793,28
82,43.89793,24
83,44.03793,31
84,44.17793,46
85,44.317932,39
86,44.45793,40
87,44.59793,50
88,44.73793,49
89,44.87793,54
90,45.01793,66
91,45.157932,47
92,45.29793,73
93,45.43793,94
94,45.57793,67
95,45.71793,100
96,45.85793,89
97,45.997932,85
98,46.13793,87
99,46.27793,88
100,46.41793,87
101,46.55793,90
102,46.69793,92
103,46.83793,92
104,46.977932,119
105,47.11793,104
106,47.25793,82
107,47.39793,105
108,47.53793,96
109,47.67793,95
110,47.817932,89
111,47.95793,69
112,48.09793,73
113,48.23793,46
114,48.37793,59
115,48.51793,49
116,48.657932,37
117,48.79793,44
118,48.93793,38
119,49.07793,38
120,49.21793,27
121,49.35793,26
122,49.497932,27
123,49.63793,20
124,49.77793,13
125,49.91793,18
126,50.05793,12
127,50.19793,11
128,50.33793,6
129,50.477932,6
130,50.61793,4
131,50.75793,1
132,50.89793,3
133,51.03793,5
134,51.17793,3
135,51.317932,0
136,51.45793,2
137,51.59793,2
138,51.73793,2
139,51.87793,0
140,52.01793,1
141,52.157932,0
142,52.29793,2
143,52.43793,0
144,52.57793,1
145,52.71793,0
146,52.85793,0
147,52.997932,0
148,53.13793,0
149,53.27793,0
150,53.41793,0
151,53.55793,0
152,53.69793,0
153,53.83793,0
154,53.977932,0
155,54.11793,0
156,54.25793,0
157,54.39793,0
158,54.53793,0
159,54.67793,0
160,54.817932,0
161,54.95793,0
162,55.09793,0
163,55.23793,0
164,55.37793,0
165,55.51793,0
166,55.657932,0
167,55.79793,0
168,55.93793,0
169,56.07793,0
170,56.21793,0
171,56.35793,0
172,56.497932,0
173,56.63793,0
174,56.77793,0
175,56.91793,0
176,57.05793,0
177,57.19793,0
178,57.33793,0
179,57.477932,0
180,57.61793,0
181,57.75793,0
182,57.89793,0
183,58.03793,0
184,58.17793,0
185,58.317932,0
186,58.45793,0
187,58.59793,0
188,58.73793,0
189,58.87793,0
190,59.01793,0
191,59.157932,0
192,59.29793,0
193,59.43793,0
194,59.57793,0
195,59.71793,0
196,59.85793,0
197,59.997932,0
198,60.13793,0
199,60.27793,0
