,energy_GeV,event_count
0,161.30536,0
1,161.72536,0
2,162.14536,0
3,162.56535,0
4,162.98535,0
5,163.40536,0
6,163.82536,0
7,164.24536,0
8,164.66536,0
9,165.08536,0
10,165.50536,0
11,165.92535,0
12,166.34535,1
13,166.76537,1
14,167.18536,0
15,167.60536,1
16,168.02536,0
17,168.44536,2
18,168.86536,0
19,169.28535,0
20,169.70535,0
21,170.12537,0
22,170.54536,1
23,170.96536,0
24,171.38536,0
25,171.80536,0
26,172.22536,0
27,172.64536,0
28,173.06535,2
29,173.48535,0
30,173.90536,0
31,174.32536,0
32,174.74536,3
33,175.16536,0
34,175.58536,0
35,176.00536,0
36,176.42535,0
37,176.84535,0
38,177.26537,0
39,177.68536,0
40,178.10536,0
41,178.52536,0
42,178.94536,0
43,179.36536,0
44,179.78535,0
45,180.20535,0
46,180.62537,0
47,181.04536,0
48,181.46536,0
49,181.88536,2
50,182.30536,2
51,182.72536,0
52,183.14536,3
53,183.56535,2
54,183.98535,1
55,184.40536,1
56,184.82536,2
57,185.24536,1
58,185.66536,4
59,186.08536,3
60,186.50536,3
61,186.92535,1
62,187.34535,4
63,187.76537,4
64,188.18536,6
65,188.60536,5
66,189.02536,5
67,189.44536,7
68,189.86536,11
69,190.28535,10
70,190.70535,13
71,191.12537,12
72,191.54536,17
73,191.96536,22
74,192.38536,21
75,192.80536,32
76,193.22536,38
77,193.64536,51
78,194.06535,53
79,194.48535,75
80,194.90536,92
81,195.32536,126
82,195.74536,155
83,196.16536,179
84,196.58536,211
85,197.00536,249
86,197.42535,305
87,197.84535,367
88,198.26537,496
89,198.68536,549
90,199.10536,656
91,199.52536,748
92,199.94536,822
93,200.36536,964
94,200.78535,1039
95,201.20535,1052
96,201.62537,1207
97,202.04536,1253
98,202.46536,1305
99,202.88536,1334
100,203.30536,1397
101,203.72536,1295
102,204.14536,1319
103,204.56535,1288
104,204.98535,1254
105,205.40536,1132
106,205.82536,1157
107,206.24536,1035
108,206.66536,861
109,207.08536,805
110,207.50536,638
111,207.92535,597
112,208.34535,536
113,208.76537,400
114,209.18536,322
115,209.60536,291
116,210.02536,237
117,210.44536,208
118,210.86536,142
119,211.28535,127
120,211.70535,98
121,212.12537,61
122,212.54536,39
123,212.96536,36
124,213.38536,37
125,213.80536,19
126,214.22536,10
127,214.64536,7
128,215.06535,4
129,215.48535,8
130,215.90536,2
131,216.32536,1
132,216.74536,1
133,217.16536,0
134,217.58536,0
135,218.00536,0
136,218.42535,1
137,218.84535,0
138,219.26537,0
139,219.68536,0
140,220.10536,0
141,220.52536,0
142,220.94536,0
143,221.36536,0
144,221.78535,0
145,222.20535,0
146,222.62537,0
147,223.04536,0
148,223.46536,0
149,223.88536,0
150,224.30536,0
151,224.72536,0
152,225.14536,0
153,225.56535,0
154,225.98535,0
155,226.40536,0
156,226.82536,0
157,227.24536,0
158,227.66536,0
159,228.08536,0
160,228.50536,0
161,228.92535,0
162,229.34535,0
163,229.76537,0
164,230.18536,0
165,230.60536,0
166,231.02536,0
167,231.44536,0
168,231.86536,0
169,232.28535,0
170,232.70535,0
171,233.12537,0
172,233.54536,0
173,233.96536,0
174,234.38536,0
175,234.80536,0
176,235.22536,0
177,235.64536,0
178,236.06535,0
179,236.48535,0
180,236.90536,0
181,237.32536,0
182,237.74536,0
183,238.16536,0
184,238.58536,0
185,239.00536,0
186,239.42535,0
187,239.84535,0
188,240.26537,0
189,240.68536,0
190,241.10536,0
191,241.52536,0
192,241.94536,0
193,242.36536,0
194,242.78535,0
195,243.20535,0
196,243.62537,0
197,244.04536,0
198,244.46536,0
199,244.88536,0
