,bin_energy,event_count
0,62.678932,1
1,62.95893,1
2,63.238934,0
3,63.518932,0
4,63.79893,2
5,64.07893,0
6,64.35893,1
7,64.63893,0
8,64.91893,0
9,65.19893,0
10,65.478935,0
11,65.758934,1
12,66.03893,0
13,66.31893,0
14,66.59893,2
15,66.87893,2
16,67.158936,1
17,67.438934,0
18,67.71893,2
19,67.99893,1
20,68.27893,1
21,68.55893,2
22,68.838936,0
23,69.118935,2
24,69.39893,1
25,69.67893,3
26,69.95893,0
27,70.23893,3
28,70.51893,1
29,70.798935,2
30,71.07893,1
31,71.35893,3
32,71.63893,3
33,71.91893,0
34,72.19893,1
35,72.478935,1
36,72.758934,0
37,73.03893,3
38,73.31893,2
39,73.59893,3
40,73.87893,2
41,74.158936,3
42,74.438934,4
43,74.71893,4
44,74.99893,10
45,75.27893,1
46,75.55893,9
47,75.838936,13
48,76.118935,17
49,76.39893,13
50,76.67893,18
51,76.95893,21
52,77.23893,36
53,77.51893,43
54,77.798935,58
55,78.07893,86
56,78.35893,103
57,78.63893,129
58,78.91893,168
59,79.19893,219
60,79.478935,275
61,79.758934,375
62,80.03893,454
63,80.31893,551
64,80.59893,660
65,80.87893,800
66,81.158936,960
67,81.438934,1034
68,81.71893,1238
69,81.99893,1331
70,82.27893,1587
71,82.55893,1588
72,82.838936,1722
73,83.118935,1787
74,83.39893,1791
75,83.67893,1820
76,83.95893,1886
77,84.23893,1801
78,84.51893,1715
79,84.798935,1598
80,85.07893,1499
81,85.35893,1436
82,85.63893,1173
83,85.91893,1157
84,86.19893,989
85,86.478935,813
86,86.758934,681
87,87.03893,582
88,87.31893,506
89,87.59893,398
90,87.87893,325
91,88.158936,247
92,88.438934,161
93,88.71893,162
94,88.99893,92
95,89.27893,64
96,89.55893,58
97,89.838936,44
98,90.118935,28
99,90.39893,23
100,90.67893,17
101,90.95893,10
102,91.23893,5
103,91.51893,6
104,91.798935,2
105,92.07893,2
106,92.35893,1
107,92.63893,0
108,92.91893,0
109,93.19893,1
110,93.478935,0
111,93.758934,0
112,94.03893,0
113,94.31893,0
114,94.59893,0
115,94.87893,0
116,95.158936,0
117,95.438934,0
118,95.71893,0
119,95.99893,0
120,96.27893,0
121,96.55893,0
122,96.838936,0
123,97.118935,0
124,97.39893,0
125,97.67893,0
126,97.95893,0
127,98.23893,0
128,98.51893,0
129,98.798935,0
130,99.07893,0
131,99.35893,0
132,99.63893,0
133,99.91893,0
134,100.19893,0
135,100.478935,0
136,100.758934,0
137,101.03893,0
138,101.31893,0
139,101.59893,0
140,101.87893,0
141,102.158936,0
142,102.438934,0
143,102.71893,0
144,102.99893,0
145,103.27893,0
146,103.55893,0
147,103.838936,0
148,104.118935,0
149,104.39893,0
