/eos/cms/store/group/dpg_hgcal/tb_hgcal/2018/cern_h2_october/offline_analysis/ntuples/v16/ntuple_493.root
Events 		 Runs
2 		 493
10 		 493
16 		 493
34 		 493
41 		 493
44 		 493
47 		 493
57 		 493
59 		 493
62 		 493
64 		 493
69 		 493
70 		 493
73 		 493
74 		 493
79 		 493
81 		 493
82 		 493
83 		 493
84 		 493
86 		 493
87 		 493
89 		 493
90 		 493
94 		 493
95 		 493
98 		 493
102 		 493
105 		 493
109 		 493
110 		 493
114 		 493
125 		 493
128 		 493
129 		 493
130 		 493
132 		 493
133 		 493
137 		 493
141 		 493
159 		 493
165 		 493
166 		 493
175 		 493
178 		 493
180 		 493
181 		 493
184 		 493
192 		 493
202 		 493
203 		 493
212 		 493
213 		 493
215 		 493
220 		 493
226 		 493
230 		 493
233 		 493
236 		 493
244 		 493
247 		 493
249 		 493
250 		 493
252 		 493
256 		 493
257 		 493
259 		 493
267 		 493
269 		 493
270 		 493
275 		 493
276 		 493
279 		 493
287 		 493
288 		 493
296 		 493
298 		 493
300 		 493
308 		 493
311 		 493
312 		 493
317 		 493
319 		 493
322 		 493
323 		 493
328 		 493
329 		 493
331 		 493
333 		 493
336 		 493
338 		 493
347 		 493
354 		 493
360 		 493
361 		 493
365 		 493
367 		 493
373 		 493
377 		 493
388 		 493
394 		 493
395 		 493
397 		 493
398 		 493
399 		 493
403 		 493
404 		 493
412 		 493
416 		 493
427 		 493
432 		 493
433 		 493
434 		 493
438 		 493
448 		 493
450 		 493
456 		 493
463 		 493
466 		 493
467 		 493
472 		 493
475 		 493
477 		 493
483 		 493
500 		 493
512 		 493
515 		 493
521 		 493
526 		 493
532 		 493
533 		 493
538 		 493
539 		 493
542 		 493
543 		 493
547 		 493
555 		 493
557 		 493
558 		 493
561 		 493
564 		 493
565 		 493
567 		 493
569 		 493
576 		 493
577 		 493
583 		 493
584 		 493
587 		 493
589 		 493
591 		 493
596 		 493
600 		 493
604 		 493
608 		 493
613 		 493
626 		 493
629 		 493
635 		 493
639 		 493
641 		 493
644 		 493
646 		 493
653 		 493
657 		 493
669 		 493
675 		 493
678 		 493
679 		 493
686 		 493
687 		 493
689 		 493
691 		 493
694 		 493
697 		 493
703 		 493
714 		 493
715 		 493
716 		 493
717 		 493
