cas	layer	dESi	z	dz	dEAbs	mean_dE
1	1	0.085	1	1	10.2	11.25
1	2	0.085	1.98	0.98	12.3	9.85
2	3	0.085	2.92	0.94	7.40	9.85
2	4	0.085	3.90	0.98	12.30	9.85
3	5	0.085	4.84	0.94	7.40	9.85
3	6	0.085	5.82	0.98	12.3	9.85
4	7	0.085	6.76	0.94	7.40	9.85
4	8	0.085	7.74	0.98	12.30	9.85
5	9	0.085	8.68	0.94	7.40	9.85
5	10	0.085	9.66	0.98	12.3	9.85
6	11	0.085	10.6	0.94	7.40	9.85
6	12	0.085	11.58	0.98	12.3	9.85
7	13	0.085	12.52	0.94	7.40	9.85
7	14	0.085	13.5	0.98	12.3	9.85
8	15	0.085	14.44	0.94	7.40	9.85
8	16	0.085	15.42	0.98	12.3	9.85
9	17	0.085	16.36	0.94	7.40	9.85
9	18	0.085	17.34	0.98	12.3	9.85
10	19	0.085	18.28	0.94	7.40	9.85
10	20	0.085	19.26	0.98	12.3	9.85
11	21	0.085	20.2	0.94	7.40	11.4
11	22	0.085	21.35	1.15	15.4	11.4
12	23	0.085	22.29	0.94	7.40	11.4
12	24	0.085	23.44	1.15	15.4	11.4
13	25	0.085	24.38	0.94	7.40	9.85
13	26	0.085	25.36	0.98	12.3	9.85
14	27	0.057	26.3	0.94	7.40	9.85
14	28	0.057	27.28	0.98	12.3	6.17
